name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Bohne weiß frisch gegart;161;0;27;154;0;63;652;2019;308;136;3;58;591;0;99;90
Hanfsamen;0;0;0;500;0;200;2600;10100;0;400;16,4;73;0;2,8;0;4
Rum;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
Käsekuchen aus Mürbeteig;56;141;151;40;1;153;212;2079;477;65;8;12;297;1;778;22
Gänseleberpastete;31;5444;5449;371;33;2486;6113;9746;4882;679;67;432;1749;1;337;83
Fleischwurst Konserve;1;3;3;511;1;158;2161;4811;332;303;1;1;24031;0;343;10
Tomatensalat mit Essigmarinade und Zwiebeln (Zubereitung Haushalt);396;0;66;49;0;30;444;594;268;98;3,7;33;20365;0;3077;55
Bratwurst (Zubereitung Haushalt);1;2;2;452;1;131;1756;4056;295;269;1;2;65;0;267;8
Touristenwurst einfach;43;5;12;390;1;189;2398;6148;375;283;2;2;23134;0;330;13
Buchweizen;13;0;2;240;0;150;2900;5017;1200;580;5;50;0;0;844;7
Weizen Mehl Type 550;0;0;0;110;0;80;500;2500;400;100;1;16;0;0;200;0
Thunfisch Konserve abgetropft;0;155;155;107;2;94;4986;8603;388;353;1;10;587;3;591;0
Weißbrot-Weizenbrot;4;3;4;76;0;57;764;1931;189;106;2;17;1;0;340;9
Rind Rücken (Roastbeef) (mager) frisch gegart;0;18;18;60;4;189;3620;9337;293;112;3;3;0;0;567;15
Heidelbeere frisch;34;0;6;20;0;20;400;433;160;60;1,1;6;30000;0;2069;10
Mischgemüse gedünstet (Zubereitung Großküche);2774;9;563;87;0;70;769;1136;313;94;3,7;16;8471;0,1;715;42
