"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt)";67;80;176;14;568;244;51;19;26;58;84;79;19;650;49;47;6;65;40;19;40;60
"Eier gekocht, gesalzen (Zubereitung Haushalt)";708;823;1196;283;7494;1543;399;5;257;784;1077;733;386;5234;746;475;2;913;656;180;527;1042
"Rind Leber roh";1440;1300;2140;280;12460;2980;1490;554;660;1150;1990;1750;600;10390;1170;1230;185;1110;1010;310;770;1470
"Krabbe klein (Shrimps) gegart";1191;1455;1890;189;9333;2740;1134;149;283;793;1532;1417;453;8618;718;756;50;907;793;189;661;850
"Wildreis gekocht";324;313;512;65;2623;1052;243;0;87;253;464;205;97;2666;270;270;0;265;210;54;243;362
"Sülzwurst hervorhebend";1426;1444;2058;253;11383;3598;1795;158;703;1005;1573;1888;531;11204;899;1329;53;998;970;233;745;1139
"Geflügelbratwurst";1306;1467;2163;251;11621;3584;1190;117;808;1150;1743;1988;602;10289;839;1080;39;966;948;219;417;1189
"Weißer Preßkopf";1258;1324;2032;257;11308;3520;1191;191;744;1016;1560;1859;544;9961;882;1026;64;934;970;238;777;1137
"Rind Hackfleisch frisch";1218;1278;1867;216;10652;3145;865;108;668;1022;1592;1710;491;8609;806;806;36;708;865;216;668;1120
"Sülzkotelett";1139;1155;1663;200;9100;2887;1421;110;577;805;1238;1504;432;8980;714;1076;37;794;775;186;600;914
"Gänseleberkäse getrüffelt";1096;1127;1821;274;10710;2792;1034;228;728;910;1550;1741;503;8691;944;1021;76;927;896;240;664;1133
"Pommes frites mit Ketchup";89;118;362;23;963;460;78;26;36;94;133;133;33;1159;97;81;9;89;81;31;66;118
"Mango tiefgefroren";63;23;51;0;254;72;26;16;15;22;39;50;6;261;21;22;5;27;23;10;13;32
"Zwiebeln gebraten (zubereitet ohne Fett)";52;182;104;33;533;295;79;14;15;22;38;65;14;642;40;58;5;54;23;22;47;32
"Schnittkäse Vollfettstufe";682;833;1566;101;13130;5277;404;10;580;1288;2402;1894;580;11994;1237;2752;3;1313;1035;328;1262;1590
"Zucker braun Rohzucker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schinkenwurst Krakauer Art roh";955;1019;1558;197;8737;2688;836;102;569;799;1225;1432;419;7463;676;737;34;689;739;185;594;883
"Quark mit Kräutern Fettstufe";193;206;402;32;2681;1041;128;11;140;280;470;377;105;2557;242;528;4;265;221;70;221;317
"Pastete im Brotteig";1120;1201;1873;245;10448;3267;1059;149;693;936;1426;1732;509;9115;815;920;50;876;896;224;732;1039
"Schwein Leber gegart";1499;1396;2186;329;13362;2843;1499;613;698;1375;2175;1878;647;10592;1160;1354;204;1211;1098;318;800;1488
"Lauchzwiebel roh";34;167;70;21;467;200;53;15;14;23;34;57;13;433;34;40;5;36;20;19;39;26
"Kartoffelpüree (Zubereitung Gastronomie)";82;104;283;21;1039;405;66;11;41;106;161;142;41;1063;100;129;4;98;84;31;81;127
"Aprikose Konfitüre";16;11;75;1;119;38;10;7;6;10;19;23;1;183;13;24;2;20;12;4;7;12
