name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Thüringer Rotwurst;Wurst, Fleischwaren;173;10,2;0,2;0,2;20,2;0;66,5;0;2,8;0;8,8
Mandeldrink ungesüßt;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;13;1,1;0;NA;0,4;0,3;97,4;0;0,5;250;5,8
Reis Kleie;Cerealien, Getreide und Getreideprodukte, Reis;379;15,8;45,7;45,7;13,3;12;9,7;0;3,5;0;24,9
Kartoffelsuppe (Zubereitung Haushalt);Menükomponenten;42;1,4;6,3;6,3;0,9;0,9;89,5;0;0,9;0,2;-2
Buchweizenvollkornbrot;Brot- und Kleingebäck;215;1,4;42,8;42,8;7,1;5,2;41,2;0;2,4;0;4,8
Burgunder Schinken in Aspik;Wurst, Fleischwaren;120;2,3;0,2;0,2;24,3;0,1;71,7;0;1,4;0;8,6
Sesam geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;600;54,9;9,3;9,3;19;10,2;1,8;0;4,8;0;3,6
Zungenpreßkopf;Wurst, Fleischwaren;257;22,5;1,2;1,2;13,2;0,1;58,2;0;4,8;0;6,6
Preßköpfe;Wurst, Fleischwaren;285;23,8;0,3;0,3;18;0,1;54,5;0;3,3;0,1;7,2
Kasseler Kamm roh geräuchert;Wurst, Fleischwaren;155;7,5;0,9;0,9;20,9;0;67,5;0;3,2;0;8,9
Glühwein;Alkoholische Getränke;105;0;14,8;14,8;0,2;0,1;78,3;6,2;0,2;0,3;0,9
Walnussöl;Fette, Öle, Butter, Schmalz;879;99,5;0;NA;0;0;0,5;0;0;0;0
Kokosnuss Mehl;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;360;14;20;NA;21;35;8,5;0;1,5;0;4,9
Fladenbrote;Brot- und Kleingebäck;235;1,3;48,1;48,1;7,1;3;39,1;0;1,5;0;3,5
Graubrot mit Käse;Brot- und Kleingebäck;214;1,5;43,1;43,1;6,2;4,6;42,7;0;1,7;0,1;3,2
Schinkenpreßkopf;Wurst, Fleischwaren;210;15,6;0,3;0,3;17,4;0,1;63,3;0;3,4;0;6,5
Graubrot-Roggentoastbrot;Brot- und Kleingebäck;247;3,5;46,1;46,1;7,2;6,1;35;0;2,1;0,1;2,8
